beta,se,t_cl,p,n_obs,n_countries,r2,model,x
0.046750154596290956,0.01571356892284062,2.9751455462378624,0.0029284956595274636,481,37,0.04671547319485014,detrended_energy_baseline,energy
0.013037701367834808,0.007508591629840294,1.7363710813651105,0.08249824215897728,481,37,0.7955654914628892,detrended_energy_plus_year_fe,energy
0.04096359201941893,0.014368258458859327,2.8509782265338623,0.004358495392784878,481,37,0.17421058836991865,detrended_energy_plus_controls,energy
0.011741423219381012,0.007397514693793686,1.5872118820165033,0.11246466456012705,481,37,0.8058351430990277,detrended_energy_plus_controls_year_fe,energy
0.033343868096318965,0.011180352699554716,2.9823628102221647,0.0028603281045698203,444,37,0.02636526319261978,detrended_energy_lag1,energy_lag1
0.033978831188168655,0.015549096455401552,2.1852608147121537,0.028869728759898017,444,37,0.030424726731757334,detrended_energy_lead1,energy_lead1
